vin	V(in)	V(out)
2.089999999999993e-002	2.090000e-002	1.800000e+000
2.099999999999993e-002	2.100000e-002	1.800000e+000
2.109999999999993e-002	2.110000e-002	1.800000e+000
2.119999999999993e-002	2.120000e-002	1.800000e+000
2.129999999999993e-002	2.130000e-002	1.800000e+000
2.139999999999993e-002	2.140000e-002	1.800000e+000
2.149999999999993e-002	2.150000e-002	1.800000e+000
2.159999999999993e-002	2.160000e-002	1.800000e+000
2.169999999999992e-002	2.170000e-002	1.800000e+000
2.179999999999992e-002	2.180000e-002	1.800000e+000
2.189999999999992e-002	2.190000e-002	1.800000e+000
2.199999999999992e-002	2.200000e-002	1.800000e+000
2.209999999999992e-002	2.210000e-002	1.800000e+000
2.219999999999992e-002	2.220000e-002	1.800000e+000
2.229999999999992e-002	2.230000e-002	1.800000e+000
2.239999999999992e-002	2.240000e-002	1.800000e+000
2.249999999999992e-002	2.250000e-002	1.800000e+000
2.259999999999992e-002	2.260000e-002	1.800000e+000
2.269999999999992e-002	2.270000e-002	1.800000e+000
2.279999999999992e-002	2.280000e-002	1.800000e+000
2.289999999999992e-002	2.290000e-002	1.800000e+000
2.299999999999992e-002	2.300000e-002	1.800000e+000
2.309999999999992e-002	2.310000e-002	1.800000e+000
2.319999999999992e-002	2.320000e-002	1.800000e+000
2.329999999999992e-002	2.330000e-002	1.800000e+000
2.339999999999991e-002	2.340000e-002	1.800000e+000
2.349999999999991e-002	2.350000e-002	1.800000e+000
2.359999999999991e-002	2.360000e-002	1.800000e+000
2.369999999999991e-002	2.370000e-002	1.800000e+000
2.379999999999991e-002	2.380000e-002	1.800000e+000
2.389999999999991e-002	2.390000e-002	1.800000e+000
2.399999999999991e-002	2.400000e-002	1.800000e+000
2.409999999999991e-002	2.410000e-002	1.800000e+000
2.419999999999991e-002	2.420000e-002	1.800000e+000
2.429999999999991e-002	2.430000e-002	1.800000e+000
2.439999999999991e-002	2.440000e-002	1.800000e+000
2.449999999999991e-002	2.450000e-002	1.800000e+000
2.459999999999991e-002	2.460000e-002	1.800000e+000
